"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	17	110920	Unreliable
	"Baldwin County, AL"	"01003"	63	421191	14.96
	"Blount County, AL"	"01009"	19	115717	Unreliable
	"Butler County, AL"	"01013"	10	39823	Unreliable
	"Calhoun County, AL"	"01015"	30	229339	13.08
	"Chambers County, AL"	"01017"	15	67556	Unreliable
	"Chilton County, AL"	"01021"	10	88008	Unreliable
	"Coffee County, AL"	"01031"	16	103100	Unreliable
	"Colbert County, AL"	"01033"	18	108716	Unreliable
	"Covington County, AL"	"01039"	13	74550	Unreliable
	"Cullman County, AL"	"01043"	13	165226	Unreliable
	"Dale County, AL"	"01045"	12	98452	Unreliable
	"DeKalb County, AL"	"01049"	11	142517	Unreliable
	"Elmore County, AL"	"01051"	13	163476	Unreliable
	"Escambia County, AL"	"01053"	13	75175	Unreliable
	"Etowah County, AL"	"01055"	40	205319	19.48
	"Geneva County, AL"	"01061"	10	53035	Unreliable
	"Houston County, AL"	"01069"	27	208402	12.96
	"Jackson County, AL"	"01071"	14	104047	Unreliable
	"Jefferson County, AL"	"01073"	216	1318718	16.38
	"Lauderdale County, AL"	"01077"	23	184856	12.44
	"Lee County, AL"	"01081"	34	320595	10.61
	"Limestone County, AL"	"01083"	19	187155	Unreliable
	"Macon County, AL"	"01087"	11	37718	Unreliable
	"Madison County, AL"	"01089"	99	718013	13.79
	"Marshall County, AL"	"01095"	18	190705	Unreliable
	"Mobile County, AL"	"01097"	116	828791	14.00
	"Montgomery County, AL"	"01101"	87	452995	19.21
	"Morgan County, AL"	"01103"	46	237830	19.34
	"Pike County, AL"	"01109"	11	66553	Unreliable
	"Randolph County, AL"	"01111"	11	45322	Unreliable
	"Russell County, AL"	"01113"	17	115217	Unreliable
	"St. Clair County, AL"	"01115"	18	176218	Unreliable
	"Shelby County, AL"	"01117"	37	424227	8.72
	"Talladega County, AL"	"01121"	29	160168	18.11
	"Tallapoosa County, AL"	"01123"	15	81408	Unreliable
	"Tuscaloosa County, AL"	"01125"	45	413913	10.87
	"Walker County, AL"	"01127"	15	129025	Unreliable
	"Anchorage Borough, AK"	"02020"	52	592548	8.78
	"Fairbanks North Star Borough, AK"	"02090"	19	200308	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	14	117123	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	14	210897	Unreliable
	"Apache County, AZ"	"04001"	10	144718	Unreliable
	"Cochise County, AZ"	"04003"	41	250526	16.37
	"Coconino County, AZ"	"04005"	20	281684	7.10
	"Gila County, AZ"	"04007"	20	107057	18.68
	"Maricopa County, AZ"	"04013"	997	8550030	11.66
	"Mohave County, AZ"	"04015"	106	412449	25.70
	"Navajo County, AZ"	"04017"	22	218982	10.05
	"Pima County, AZ"	"04019"	264	2038975	12.95
	"Pinal County, AZ"	"04021"	74	848777	8.72
	"Yavapai County, AZ"	"04025"	92	453730	20.28
	"Yuma County, AZ"	"04027"	33	413165	7.99
	"Baxter County, AR"	"05005"	20	82417	24.27
	"Benton County, AR"	"05007"	59	524591	11.25
	"Boone County, AR"	"05009"	17	74685	Unreliable
	"Carroll County, AR"	"05015"	10	55590	Unreliable
	"Cleburne County, AR"	"05023"	11	50312	Unreliable
	"Conway County, AR"	"05029"	11	41853	Unreliable
	"Craighead County, AR"	"05031"	27	212950	12.68
	"Crawford County, AR"	"05033"	19	125263	Unreliable
	"Crittenden County, AR"	"05035"	15	97985	Unreliable
	"Faulkner County, AR"	"05045"	16	245881	Unreliable
	"Garland County, AR"	"05051"	32	196135	16.32
	"Greene County, AR"	"05055"	11	89651	Unreliable
	"Hot Spring County, AR"	"05059"	11	66948	Unreliable
	"Jefferson County, AR"	"05069"	25	139131	17.97
	"Johnson County, AR"	"05071"	12	52728	Unreliable
	"Lonoke County, AR"	"05085"	21	145126	14.47
	"Pope County, AR"	"05115"	14	127614	Unreliable
	"Pulaski County, AR"	"05119"	111	787206	14.10
	"Saline County, AR"	"05125"	35	238026	14.70
	"Sebastian County, AR"	"05131"	29	255900	11.33
	"Union County, AR"	"05139"	20	79336	25.21
	"Washington County, AR"	"05143"	41	460045	8.91
	"White County, AR"	"05145"	20	158279	12.64
	"Alameda County, CA"	"06001"	361	3310894	10.90
	"Amador County, CA"	"06005"	14	76009	Unreliable
	"Butte County, CA"	"06007"	67	456158	14.69
	"Calaveras County, CA"	"06009"	12	90841	Unreliable
	"Contra Costa County, CA"	"06013"	274	2282566	12.00
	"El Dorado County, CA"	"06017"	53	374612	14.15
	"Fresno County, CA"	"06019"	161	1969170	8.18
	"Humboldt County, CA"	"06023"	40	273400	14.63
	"Imperial County, CA"	"06025"	23	363713	6.32
	"Kern County, CA"	"06029"	182	1777907	10.24
	"Kings County, CA"	"06031"	22	299886	7.34
	"Lake County, CA"	"06033"	22	128362	17.14
	"Los Angeles County, CA"	"06037"	2318	20301422	11.42
	"Madera County, CA"	"06039"	41	311587	13.16
	"Marin County, CA"	"06041"	66	521606	12.65
	"Mariposa County, CA"	"06043"	12	34979	Unreliable
	"Mendocino County, CA"	"06045"	25	175646	14.23
	"Merced County, CA"	"06047"	65	541345	12.01
	"Monterey County, CA"	"06053"	73	873139	8.36
	"Napa County, CA"	"06055"	38	283139	13.42
	"Nevada County, CA"	"06057"	37	198921	18.60
	"Orange County, CA"	"06059"	704	6362932	11.06
	"Placer County, CA"	"06061"	116	766697	15.13
	"Riverside County, CA"	"06065"	551	4811007	11.45
	"Sacramento County, CA"	"06067"	396	3045075	13.00
	"San Benito County, CA"	"06069"	13	119724	Unreliable
	"San Bernardino County, CA"	"06071"	507	4297500	11.80
	"San Diego County, CA"	"06073"	803	6655434	12.07
	"San Francisco County, CA"	"06075"	167	1755250	9.51
	"San Joaquin County, CA"	"06077"	157	1479133	10.61
	"San Luis Obispo County, CA"	"06079"	77	566292	13.60
	"San Mateo County, CA"	"06081"	153	1536207	9.96
	"Santa Barbara County, CA"	"06083"	119	894320	13.31
	"Santa Clara County, CA"	"06085"	383	3857555	9.93
	"Santa Cruz County, CA"	"06087"	56	550570	10.17
	"Shasta County, CA"	"06089"	50	359552	13.91
	"Siskiyou County, CA"	"06093"	15	87456	Unreliable
	"Solano County, CA"	"06095"	107	885665	12.08
	"Sonoma County, CA"	"06097"	165	1007287	16.38
	"Stanislaus County, CA"	"06099"	117	1089459	10.74
	"Sutter County, CA"	"06101"	28	193299	14.49
	"Tehama County, CA"	"06103"	18	127202	Unreliable
	"Tulare County, CA"	"06107"	75	924930	8.11
	"Tuolumne County, CA"	"06109"	17	108052	Unreliable
	"Ventura County, CA"	"06111"	187	1703961	10.97
	"Yolo County, CA"	"06113"	40	434918	9.20
	"Yuba County, CA"	"06115"	23	152306	15.10
	"Adams County, CO"	"08001"	78	1001354	7.79
	"Arapahoe County, CO"	"08005"	157	1280120	12.26
	"Boulder County, CO"	"08013"	84	644740	13.03
	"Broomfield County, CO"	"08014"	10	134870	Unreliable
	"Chaffee County, CO"	"08015"	10	38696	Unreliable
	"Delta County, CO"	"08029"	12	61010	Unreliable
	"Denver County, CO"	"08031"	165	1397681	11.81
	"Douglas County, CO"	"08035"	63	663931	9.49
	"El Paso County, CO"	"08041"	137	1387516	9.87
	"Fremont County, CO"	"08043"	11	95005	Unreliable
	"Garfield County, CO"	"08045"	10	118005	Unreliable
	"Jefferson County, CO"	"08059"	157	1146450	13.69
	"La Plata County, CO"	"08067"	16	111212	Unreliable
	"Larimer County, CO"	"08069"	93	683969	13.60
	"Mesa County, CO"	"08077"	32	301699	10.61
	"Montrose County, CO"	"08085"	18	83255	Unreliable
	"Pueblo County, CO"	"08101"	48	331598	14.48
	"Weld County, CO"	"08123"	53	599565	8.84
	"Fairfield County, CT"	"09001"	227	1894098	11.98
	"Hartford County, CT"	"09003"	246	1787777	13.76
	"Litchfield County, CT"	"09005"	54	364748	14.80
	"Middlesex County, CT"	"09007"	49	326739	15.00
	"New Haven County, CT"	"09009"	219	1717310	12.75
	"New London County, CT"	"09011"	89	538834	16.52
	"Tolland County, CT"	"09013"	33	302579	10.91
	"Windham County, CT"	"09015"	26	232551	11.18
	"Kent County, DE"	"10001"	55	351651	15.64
	"New Castle County, DE"	"10003"	154	1116780	13.79
	"Sussex County, DE"	"10005"	85	445573	19.08
	"District of Columbia, DC"	"11001"	181	1375142	13.16
	"Alachua County, FL"	"12001"	58	530440	10.93
	"Baker County, FL"	"12003"	11	56220	Unreliable
	"Bay County, FL"	"12005"	60	367537	16.32
	"Brevard County, FL"	"12009"	199	1168292	17.03
	"Broward County, FL"	"12011"	544	3845510	14.15
	"Charlotte County, FL"	"12015"	74	360498	20.53
	"Citrus County, FL"	"12017"	55	289268	19.01
	"Clay County, FL"	"12019"	62	420541	14.74
	"Collier County, FL"	"12021"	109	738016	14.77
	"Columbia County, FL"	"12023"	27	138911	19.44
	"DeSoto County, FL"	"12027"	11	72662	Unreliable
	"Duval County, FL"	"12031"	256	1864189	13.73
	"Escambia County, FL"	"12033"	95	628699	15.11
	"Flagler County, FL"	"12035"	44	218820	20.11
	"Hernando County, FL"	"12053"	72	369388	19.49
	"Highlands County, FL"	"12055"	48	203800	23.55
	"Hillsborough County, FL"	"12057"	322	2784804	11.56
	"Indian River County, FL"	"12061"	68	305946	22.23
	"Jackson County, FL"	"12063"	16	96559	Unreliable
	"Lake County, FL"	"12069"	111	681413	16.29
	"Lee County, FL"	"12071"	203	1461560	13.89
	"Leon County, FL"	"12073"	65	578114	11.24
	"Levy County, FL"	"12075"	16	80316	Unreliable
	"Manatee County, FL"	"12081"	105	761459	13.79
	"Marion County, FL"	"12083"	115	703373	16.35
	"Martin County, FL"	"12085"	45	318624	14.12
